rainfall_mm,river_level_m,soil_moisture_idx,upstream_discharge_cusecs,flood_risk_label
120.5,10.2,0.85,15000,0
340.2,14.5,0.92,45000,2
210.8,12.1,0.78,28000,1
45.0,8.5,0.45,12000,0
180.3,11.8,0.88,25000,1
500.0,16.2,0.98,60000,2
15.0,7.8,0.30,8000,0
300.5,13.9,0.95,41000,2
130.0,10.5,0.70,18000,0
230.1,12.4,0.82,29500,1
410.0,15.1,0.94,52000,2
60.0,9.0,0.50,13500,0
190.5,11.9,0.89,26000,1
320.0,14.1,0.93,43000,2
25.0,8.1,0.35,9000,0
270.0,13.5,0.91,38000,2
140.0,10.8,0.75,21000,0
200.0,12.0,0.80,27000,1
55.0,8.8,0.40,11000,0
480.0,15.8,0.97,56000,2
